term,replacement
laws of exercise,law_of_exercise
principle,principle
principles,principle
testable hypothesis,testable_hypothesis
testable hypotheses,testable_hypothesis
hypothesis,hypothesis
hypotheses,hypothesis
theory,theory
theories,theory
theoretical framework,theoretical_framework
theoretical frameworks,theoretical_framework
model,model
models,model
anatomical entity,anatomical_entity
anatomical entities,anatomical_entity
prediction of knowing,prediction_of_knowing
predictions of knowing,prediction_of_knowing
POK,POK
POK,POK
prospective confidence,prospective_confidence
prospective confidences,prospective_confidence
biological material entity,biological_material_entity
biological material entities,biological_material_entity
biological entity,biological_entity
biological entities,biological_entity
cell,cell
cells,cell
A-B_ A-Br learning task,A-B__A-Br_learning_task
A-B_ A-Br learning tasks,A-B__A-Br_learning_task
paired-associates learning task,paired-associates_learning_task
paired-associates learning tasks,paired-associates_learning_task
paired-associates learning method,paired-associates_learning_method
paired-associates learning methods,paired-associates_learning_method
paired-associates learning paradigm,paired-associates_learning_paradigm
paired-associates learning paradigms,paired-associates_learning_paradigm
paired-associates learning procedure,paired-associates_learning_procedure
paired-associates learning procedures,paired-associates_learning_procedure
cued recall task,cued_recall_task
cued recall tasks,cued_recall_task
R/K paradigm,R/K_paradigm
R/K paradigms,R/K_paradigm
Remember/Know paradigm,Remember/Know_paradigm
Remember/Know paradigm,Remember/Know_paradigm
subjective study method of memory,subjective_study_method_of_memory
subjective study methods of memory,subjective_study_method_of_memory
Don't remember/Don't know paradigm,Don't_remember/Don't_know_paradigm
Don't remember/Don't know paradigm,Don't_remember/Don't_know_paradigm
DR/DK paradigm,DR/DK_paradigm
DR/DK paradigms,DR/DK_paradigm
recognition task,recognition_task
recognition tasks,recognition_task
recognition memory,recognition_memory
recognition memories,recognition_memory
recognition paradigm,recognition_paradigm
recognition paradigms,recognition_paradigm
recognition test,recognition_test
recognition tests,recognition_test
objective study method of memory,objective_study_method_of_memory
objective study methods of memory,objective_study_method_of_memory
double-function pairs,double-function_pairs
double-function pairs,double-function_pairs
AB_ BC pair,AB__BC_pair
ABS_ BC pair,AB__BC_pair
AB_ BC paradigm,AB__BC_paradigm
ABS_ BC paradigm,AB__BC_paradigm
sound-scene paired-associates paradigm,sound-scene_paired-associates_paradigm
sound-scene paired-associates paradigms,sound-scene_paired-associates_paradigm
A-B_ A-C learning task,A-B__A-C_learning_task
A-B_ A-C learning tasks,A-B__A-C_learning_task
A-B_ A-C paradigm,A-B__A-C_paradigm
A-B_ A-C paradigms,A-B__A-C_paradigm
A-B_ A-D learning,A-B__A-D_learning
A-B_ A-D learnings,A-B__A-D_learning
A-B_ A-D paradigm,A-B__A-D_paradigm
A-B_ A-D paradigms,A-B__A-D_paradigm
continuous paired-associate learning task,continuous_paired-associate_learning_task
continuous paired-associate learning tasks,continuous_paired-associate_learning_task
A-B_ C-B learning task,A-B__C-B_learning_task
A-B_ C-B learning tasks,A-B__C-B_learning_task
A-B_ C-B paradigm,A-B__C-B_paradigm
A-B_ C-B paradigms,A-B__C-B_paradigm
associative memory Stroop task,associative_memory_Stroop_task
associative memory Stroop tasks,associative_memory_Stroop_task
associative memory Stroop paradigm,associative_memory_Stroop_paradigm
associative memory Stroop paradigms,associative_memory_Stroop_paradigm
visual association test,visual_association_test
visual association tests,visual_association_test
study method of memory,study_method_of_memory
study methods of memory,study_method_of_memory
self-report questionnaire,self-report_questionnaire
self-report questionnaires,self-report_questionnaire
conceptual self,conceptual_self
conceptual selves,conceptual_self
autobiographical memory,autobiographical_memory
autobiographical memories,autobiographical_memory
mental imagery,mental_imagery
mental imageries,mental_imagery
imagination,imagination
imaginations,imagination
mental image,mental_image
mental images,mental_image
cognitive process,cognitive_process
cognitive processes,cognitive_process
cognitive processing,cognitive_processing
cognitive processing,cognitive_processing
information processing,information_processing
information processing,information_processing
visual imagery,visual_imagery
visual imageries,visual_imagery
visual image,visual_image
visual images,visual_image
semantic prospection,semantic_prospection
semantic prospections,semantic_prospection
episodic future thought,episodic_future_thought
episodic future thought,episodic_future_thought
episodic foresight,episodic_foresight
episodic foresights,episodic_foresight
episodic future thinking,episodic_future_thinking
episodic future thinkings,episodic_future_thinking
episodic prospection,episodic_prospection
episodic prospections,episodic_prospection
episodic simulation,episodic_simulation
episodic simulations,episodic_simulation
auditory imagery,auditory_imagery
auditory imageries,auditory_imagery
auditory image,auditory_image
auditory images,auditory_image
episodic counterfactual thought,episodic_counterfactual_thought
episodic counterfactual thoughts,episodic_counterfactual_thought
episodic counterfactual thinking,episodic_counterfactual_thinking
episodic counterfactual thinkings,episodic_counterfactual_thinking
simulation theory,simulation_theory
simulation theories,simulation_theory
simulationism,simulationism
simulationisms,simulationism
simulationist approach,simulationist_approach
simulationist approaches,simulationist_approach
bizarreness effect,bizarreness_effect
bizarreness effects,bizarreness_effect
Memory Characteristics Questionnaire,Memory_Characteristics_Questionnaire
Memory Characteristics Questionnaire,Memory_Characteristics_Questionnaire
MCQ,MCQ
MCQ,MCQ
internal strategy,internal_strategy
internal strategies,internal_strategy
internal aid,internal_aid
internal aids,internal_aid
cognitive disorder,cognitive_disorder
cognitive disorders,cognitive_disorder
cognitive dysfunction,cognitive_dysfunction
cognitive dysfunctions,cognitive_dysfunction
cognitive dysfunctioning,cognitive_dysfunctioning
cognitive dysfunctionings,cognitive_dysfunctioning
cognitive impairment,cognitive_impairment
cognitive impairments,cognitive_impairment
cognition,cognition
cognitions,cognition
cognitive ability,cognitive_ability
cognitive abilities,cognitive_ability
cognitive capability,cognitive_capability
cognitive capabilities,cognitive_capability
cognitive disposition,cognitive_disposition
cognitive dispositions,cognitive_disposition
affordance,affordance
affordances,affordance
episodic memory,episodic_memory
episodic memories,episodic_memory
