id	ul	term	pref	replacement
http://data.loterre.fr/ark:/67375/p66-l868rb6z-r.0	sentence verification task	sentence verification task	sentence verification task	sentence_verification_task
http://data.loterre.fr/ark:/67375/p66-l868rb6z-r.1	category verification task	category verification task	sentence verification task	sentence_verification_task
http://data.loterre.fr/ark:/67375/p66-l8bj4tpf-9.0	a-b, c-b learning task	a-b, c-b learning task	a-b, c-b learning task	a_b_c_b_learning_task
http://data.loterre.fr/ark:/67375/p66-l8bj4tpf-9.1	a-b, c-b paradigm	a-b, c-b paradigm	a-b, c-b learning task	a_b_c_b_learning_task
http://data.loterre.fr/ark:/67375/p66-l8mr7zlc-6.0	zroc curve	zroc curve	zroc curve	zroc_curve
http://data.loterre.fr/ark:/67375/p66-l8mr7zlc-6.1	z-roc	z-roc	zroc curve	zroc_curve
http://data.loterre.fr/ark:/67375/p66-l8mr7zlc-6.2	zroc function	zroc function	zroc curve	zroc_curve
http://data.loterre.fr/ark:/67375/p66-l907hgv5-t.0	retrieval mode	retrieval mode	retrieval mode	retrieval_mode
http://data.loterre.fr/ark:/67375/p66-l9tb8rh1-q.0	cambridge face memory test	cambridge face memory test	cambridge face memory test	cambridge_face_memory_test
http://data.loterre.fr/ark:/67375/p66-l9tb8rh1-q.1	cfmt	cfmt	cambridge face memory test	cambridge_face_memory_test
http://data.loterre.fr/ark:/67375/p66-lcbxnxb9-q.0	prospective memory questionnaire	prospective memory questionnaire	prospective memory questionnaire	prospective_memory_questionnaire
http://data.loterre.fr/ark:/67375/p66-lcbxnxb9-q.1	pmq	pmq	prospective memory questionnaire	prospective_memory_questionnaire
http://data.loterre.fr/ark:/67375/p66-lcxjwwjx-c.0	california verbal learning test ​	california verbal learning test ​	california verbal learning test ​	california_verbal_learning_test_​
http://data.loterre.fr/ark:/67375/p66-lcxjwwjx-c.1	cvlt	cvlt	california verbal learning test ​	california_verbal_learning_test_​
http://data.loterre.fr/ark:/67375/p66-lcxjwwjx-c.2	cvlt-ii	cvlt-ii	california verbal learning test ​	california_verbal_learning_test_​
http://data.loterre.fr/ark:/67375/p66-ldwrvl6t-5.0	item memory	item memory	item memory	item_memory
http://data.loterre.fr/ark:/67375/p66-lgsx4mdr-2.0	cognitive interview for person description	cognitive interview for person description	cognitive interview for person description	cognitive_interview_for_person_description
http://data.loterre.fr/ark:/67375/p66-lhgvcpds-p.0	k.f. case	k.f. case	k.f. case	k.f._case
http://data.loterre.fr/ark:/67375/p66-lhgvcpds-p.1	k.f. patient	k.f. patient	k.f. case	k.f._case
http://data.loterre.fr/ark:/67375/p66-lhl158kj-6.0	provoked confabulation	provoked confabulation	provoked confabulation	provoked_confabulation
http://data.loterre.fr/ark:/67375/p66-lhl158kj-6.1	momentary confabulation	momentary confabulation	provoked confabulation	provoked_confabulation
http://data.loterre.fr/ark:/67375/p66-ljn4259t-9.0	diary method	diary method	diary method	diary_method
http://data.loterre.fr/ark:/67375/p66-ljn4259t-9.1	diary recording method	diary recording method	diary method	diary_method
http://data.loterre.fr/ark:/67375/p66-ll0xw12x-5.0	historically defined autobiographical period	historically defined autobiographical period	historically defined autobiographical period	historically_defined_autobiographical_period
http://data.loterre.fr/ark:/67375/p66-ll7cpq9g-p.0	c calibration index	c calibration index	c calibration index	c_calibration_index
http://data.loterre.fr/ark:/67375/p66-ll7cpq9g-p.1	c calibration measure	c calibration measure	c calibration index	c_calibration_index
http://data.loterre.fr/ark:/67375/p66-ll7cpq9g-p.2	c index	c index	c calibration index	c_calibration_index
http://data.loterre.fr/ark:/67375/p66-ll7cpq9g-p.3	c measure	c measure	c calibration index	c_calibration_index
http://data.loterre.fr/ark:/67375/p66-ll7g7416-5.0	elimination lineup	elimination lineup	elimination lineup	elimination_lineup
